Age,Fare,Parch,Sex,SibSp,Survived,HasCabin,IsAlone,FamilySize,TicketFrequency,Deck,IsMarried,Person_child,Person_female,Person_male,Embarked_C,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,DeckGroup_ABC,DeckGroup_DE,DeckGroup_FG,DeckGroup_M,"CategoricalAge_(-0.08, 16.0]","CategoricalAge_(16.0, 32.0]","CategoricalAge_(32.0, 48.0]","CategoricalAge_(48.0, 64.0]","CategoricalAge_(64.0, 80.0]",CategoricalFare_1,CategoricalFare_2,CategoricalFare_3,CategoricalFare_4,CategoricalFare_5,FamilySizeBin_1,FamilySizeBin_2,FamilySizeBin_3,FamilySizeBin_4,Pclass_1,Pclass_2,Pclass_3,Person,Embarked,Title,DeckGroup,CategoricalAge,CategoricalFare,FamilySizeBin,Pclass
22,7,0,1,1,0.0,0,0,2,1,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,1,3,1,1,2,3
38,71,0,0,1,1.0,1,0,2,2,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,2,5,2,1
26,8,0,0,0,1.0,0,1,1,1,7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,3,1,1,1,3
35,53,0,0,1,1.0,1,0,2,2,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,2,0,2,5,2,1
35,8,0,1,0,0.0,0,1,1,1,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2,1,3,2,1,1,3
25,8,0,1,0,0.0,0,1,1,1,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,3,1,1,1,3
54,52,0,1,0,0.0,1,1,1,2,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,1,1,3,5,1,1
2,21,1,1,3,0.0,0,0,5,5,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,3,0,3,4,3
27,11,2,0,0,1.0,0,0,3,3,7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,2,3,1,3,3,3
14,30,0,0,1,1.0,0,0,2,2,7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,3,0,4,2,2
4,17,1,0,1,1.0,1,0,3,3,6,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,0,3,3,3
58,27,0,0,0,1.0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,3,4,1,1
20,8,0,1,0,0.0,0,1,1,1,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2,1,3,1,1,1,3
39,31,5,1,1,0.0,0,0,7,7,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,3,2,4,4,3
